census_block_group,Median Esimated Visitor Count,Total Population,Percent Male,Median Age,Percent Two races excluding Some other race and three or more races,Percent White alone,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Native Hawaiian and Other Pacific Islander alone,Percent Some other race alone,Percent Two or more races,Percent Asian alone & Two races including Some other race,Total Households,Percent Households with one or more people under 18 years,Percent Households with one or more people 60 years and over,Percent over 25 without a high school diploma,Percent over 25 with a bachelor’s degree or higher,Percent Households Income in the past 12 months below poverty level,Median Household Income,Percent Household received Food Stamps/SNAP,Percent Households received Food Stamps/SNAP have disability,Percent Employed,Percent Civilian labor force,Cluster
360050092004,8.361980436016426,809,0.5475896168108776,38.9,0.0,0.2249690976514215,0.14215080346106304,0.0,0.0,0.13473423980222496,0.10630407911001236,0.4981458590852905,250,0.424,0.28800000000000003,0.25982905982905985,0.4051282051282051,0.32,54688.0,0.17600000000000002,0.0,0.9658314350797268,0.5426452410383189,3
360050092005,8.379988135258056,816,0.4938725490196079,45.0,0.06127450980392156,0.14215686274509806,0.3272058823529412,0.0,0.0,0.4068627450980392,0.06127450980392156,0.0625,321,0.14018691588785046,0.3302180685358255,0.15519765739385066,0.16691068814055635,0.14018691588785046,60288.0,0.29595015576323985,0.37894736842105264,0.8697183098591549,0.696078431372549,0
360050093002,7.897348523036597,1077,0.4911792014856082,26.6,0.0,0.2349117920148561,0.5487465181058496,0.0,0.0,0.21634168987929436,0.0,0.0,345,0.3710144927536232,0.4115942028985507,0.2731277533039648,0.2173274596182085,0.3594202898550725,37422.0,0.4115942028985507,0.2394366197183099,0.9179600886917959,0.41875580315691735,2
360050093003,13.638462569532873,2356,0.5836162988115451,31.4,0.00042444821731748726,0.07088285229202038,0.27249575551782684,0.011884550084889645,0.0,0.6162988115449916,0.02801358234295416,0.02801358234295416,627,0.42424242424242425,0.4577352472089314,0.4722627737226278,0.08759124087591241,0.4322169059011165,35871.0,0.4338118022328549,0.3272058823529412,0.898428053204353,0.351018675721562,2
360050093004,6.211410436126263,1021,0.4182174338883448,31.9,0.038197845249755134,0.12830558276199805,0.2889324191968658,0.0,0.0,0.544564152791381,0.038197845249755134,0.0,451,0.4855875831485588,0.2793791574279379,0.34911242603550297,0.1834319526627219,0.36585365853658536,27250.0,0.40133037694013296,0.35911602209944754,0.9164733178654292,0.4221351616062684,2
360050093005,6.6788393970304885,859,0.5261932479627474,38.0,0.0,0.22118742724097787,0.3271245634458673,0.0,0.0,0.4516880093131549,0.0,0.0,285,0.3754385964912281,0.28771929824561404,0.24825174825174826,0.16083916083916086,0.3614035087719297,30542.0,0.4736842105263158,0.4814814814814815,0.8259803921568627,0.4749708963911525,2
360050093006,1.8239781450959065,841,0.7384066587395958,32.0,0.08680142687277051,0.10225921521997622,0.42568370986920334,0.01426872770511296,0.0,0.3281807372175981,0.11533888228299645,0.04280618311533888,85,0.8705882352941177,0.0,0.3401869158878505,0.02803738317757009,0.4823529411764706,,0.4823529411764706,0.7073170731707317,1.0,0.11296076099881094,2
360050096001,15.031770732023599,2189,0.4326176336226588,38.6,0.009593421653723162,0.24303334856098674,0.2517131110095934,0.008222932846048425,0.0,0.2864321608040201,0.026496116948378255,0.20100502512562812,581,0.42857142857142855,0.5129087779690189,0.3275167785234899,0.22281879194630871,0.22203098106712565,50221.0,0.3545611015490533,0.6601941747572816,0.8225255972696246,0.401553220648698,2
360050096002,2.1661467238765044,603,0.4660033167495854,37.4,0.026533996683250412,0.21227197346600327,0.21393034825870647,0.0,0.0,0.2902155887230514,0.056384742951907124,0.2570480928689884,184,0.5108695652173914,0.39130434782608703,0.18414918414918416,0.2331002331002331,0.31521739130434784,59167.0,0.4184782608695653,0.4935064935064935,0.9125874125874126,0.4742951907131012,2
360050098001,6.219188643733418,653,0.5022970903522205,32.9,0.14241960183767227,0.5788667687595712,0.1669218989280245,0.0,0.0,0.05359877488514548,0.14241960183767227,0.05819295558958652,251,0.2549800796812749,0.30278884462151395,0.15659955257270694,0.2930648769574944,0.0,100924.0,0.09561752988047807,0.0,0.8738532110091743,0.667687595712098,1
